FindLaw(Labor Law),http://www.findlaw.com/01topics/27labor/index.html,英語,美國,
FindLaw(Family Law),http://www.findlaw.com/01topics/15family/index.html,英語,美國,
FindLaw(Injury & Tort Law),http://www.findlaw.com/01topics/22tort/index.html,英語,美國,
LawerShop(Family Law),http://www.lawyershop.com/practice-areas/family-law,英語,美國,
Legal Information Institute(Criminal procedure),http://www.law.cornell.edu/wex/criminal_procedure,英語,美國,
法務部刑事政策與犯罪研究資料庫 ,http://www.criminalresearch.moj.gov.tw/mp301.html,中文,台灣,
清華大學生物法學資料庫 ,http://www.blc.nthu.edu.tw/resources/super_pages.php?ID=database,中文,台灣,
Feminist Law Professors,http://www.feministlawprofessors.com/,英語,美國,
Harvard Journal on Law and Gender,http://harvardjlg.com/,英語,美國,
Columbia Journal of Asian Law,http://blogs.law.columbia.edu/cjal/?page_id=10,英語,美國,
WorldTradeLaw,http://www.worldtradelaw.net/,英語,世界各國,
TradeLawGuide,http://www.tradelawguide.com/,英語,世界各國,
Journal of Legal Pluralism,http://www.jlp.bham.ac.uk/,英語,英國,
Family Court of Australia,http://www.familycourt.gov.au/,英語,澳洲,
New Zealand Family Court,http://www.justice.govt.nz/courts/family-court/,英語,紐西蘭,
Family Court of UK,http://www.familylaw.co.uk/,英語,英國,
Family Law Week,http://www.familylawweek.co.uk/site.aspx?i=ho0,英語,英國,
National Family Mediation,http://www.nfm.org.uk/,英語,英國,
Coventry & Warwickshire Family Mediation Service,http://www.cwfm.org.uk/,英語,英國,
Divorce Law,http://divorce.laws.com/,英語,美國,該網站為美國官方網站，主要可查詢美國有關離婚之法規、程序、相關問題。
Divorce resource,http://www.divorcesource.com/info/divorcelaws/states.shtml,英語,美國,該網站提供查詢美國各州離婚法規。
International Divorce,http://www.international-divorce.com/,英語,全球,該網站提供世界各國有關親屬法之法規查詢。
Taiwan Intellectual Property Office,http://www.tipo.gov.tw/ch/,中文,台灣,
UK Intellectual Property Office,http://www.ipo.gov.uk,英語,英國,
United States Patent and Trademark Office,http://www.uspto.gov,英語,美國,
U.S Copyright Office,http://www.copyright.gov/,英語,美國,
European Patent Office,http://www.epo.org/,英語,世界各國,
日本法令索引 ,http://hourei.ndl.go.jp/SearchSys/ ,日文,日本,
日本國會圖書館 ,http://www.ndl.go.jp/en/news/fy2010/1190034_1532.html ,日文,日本,
